科目名,単位,教員,前期/後期,曜日,時間,必修
人間学,2,藤井 隆道,前期,火,3,必修ではない
倫理学,2,江口 聡,前期,金,4,必修ではない
環境政策論,2,諏訪 亜紀,前期,火,2,必修ではない
自然環境と生態系,2,神松 幸弘,前期,火,3,必修ではない
生命倫理学,2,霜田 求,後期,月,3,必修ではない
生命の起源と進化,2,神松 幸弘,後期,金,4,必修ではない
