科目名,単位,教員,前期/後期,曜日,時間,必修
情報数学,2,宮下　健輔,前期,火,3,必修ではない
アルゴリズム論,2,道越　秀吾,前期,水,1,必修ではない
社会情報学,2,水野　義之,前期,火,1,必修ではない
情報文明論,2,中山　貴夫,後期,金,3,必修ではない
情報ネットワーク,2,中山　貴夫,後期,金,2,必修ではない
ロボット社会論,2,窪田　智徳,後期,金,4,必修ではない
