科目,単位,教員,前期/後期,曜日,時間,必修
現代北米論,2,城戸　英樹,前期,木,3,必修ではない
現代アジア論,2,松本　充豊,前期,木,4,必修ではない
現代アフリカ論,2,戸田　真紀子,前期,水,2,必修ではない
現代ヨーロッパ論,2,林　忠行,前期,火,1,必修ではない
国際法,2,西片　聡哉,後期,火,2,必修ではない
現代イスラーム地域論,2,中村　友一,後期,金,2,必修ではない
現代ラテンアメリカ論,2,河合 沙織,後期,金,5,必修ではない
国際関係論,2,松田　哲,後期,火,1,必修ではない
