科目,単位,教員,前期/後期,曜日,時間,必修
マクロ経済学,2,鳥谷　一生,前期,火,1,必修ではない
ミクロ経済学,2,坂爪　聡子,前期,火,2,必修ではない
経営戦略論,2,西尾　久美子,前期,水,1,必修ではない
簿記Ⅰ,2,井上　秀一、庄司 豊、掛谷　純子,前期,金,1,必修ではない
金融論,2,鳥谷　一生,後期,木,3,必修ではない
財政学,2,桃田　翔平,後期,月,5,必修ではない
組織マネジメント論,2,西尾　久美子,後期,水,1,必修ではない
簿記Ⅱ,2,井上　秀一、庄司 豊、掛谷　純子,後期,金,1,必修ではない
