科目,単位,教員,前期/後期,曜日,時間,必修
政治過程論,2,松本　充豊,前期,水,2,必修ではない
マイノリティと法,2,澤　敬子,前期,木,4,必修ではない
日本国憲法,2,沼本　祐太,前期,水,4,必修ではない
行政学,2,城戸　英樹,後期,木,3,必修ではない
法社会学,2,澤　敬子,後期,木,4,必修ではない
民法,2,古谷　貴之,後期,火,3,必修ではない
比較政治論,2,戸田　真紀子,後期,火,2,必修ではない
